hashtags,text,user,location,time
[],Happy birthday to one of the coolest coaches and guy youâ€™ll meet â€œHow many strings on the football?â€ù,__Dj8,"Youngstown, OH",Wed Oct 24 02:35:39 +0000 2018
[],. do it for Sam.,csann,"Boston, MA",Wed Oct 24 02:35:47 +0000 2018
[],NCAA football -1 most likely,Miw663,"West Bloomfield Township, MI",Wed Oct 24 02:37:03 +0000 2018
['HFND'],Congrats Ricardo!,HolmesHuskyFB,"San Antonio, TX",Wed Oct 24 02:37:03 +0000 2018
['ncfc'],The touch from at s. Delicious.,AngryAnderton,"San Francisco, CA",Wed Oct 24 02:37:07 +0000 2018
[],"Isnâ€™t it wild when your childhood friendâ€™s siblings get engaged/married? Like, I remember when you were and chasiâ€_",ShannonPeake,"Ypsilanti, MI",Wed Oct 24 02:37:36 +0000 2018
"['NFLPicks', 'football', 'NBA']",Tuesday a pass. No picks. % for year. All picks % for year. âÅ  âÅ picks % for year. Allâ€_,jeffersonsports,"Henderson, NV",Wed Oct 24 02:38:21 +0000 2018
[],the college environment âÅ‰ï¸èï¸èï¸è,dacostello1,"Indiana, USA",Wed Oct 24 02:38:23 +0000 2018
[],Healing and life after football,Dbn1012,"San Antonio, TX",Wed Oct 24 02:38:31 +0000 2018
['WildcatNation'],Big win for our NLS Wildcats! Great job and team!,Wyganowski21,"Spicer, MN",Wed Oct 24 02:38:42 +0000 2018
[],Football teams started trading more players this season. I like it. Makes it more interesting to see teams getting shaken up.,ProfessorMiles_,"Los Angeles, CA",Wed Oct 24 02:38:49 +0000 2018
[],Check out DraftKings Team Pickâ€™em! Enter now for free to make your weekly football game predictions to play and tryâ€_,cbprince32,"Kettering, OH",Wed Oct 24 02:38:55 +0000 2018
[],Section A Football After Cathedral Wabasso,KNUJ,"New Ulm, MN",Wed Oct 24 02:39:12 +0000 2018
[],Osos football editors when Mo Bamba comes on,Mason11Lilly,"Rancho Cucamonga, CA",Wed Oct 24 02:39:37 +0000 2018
[],GO VOTE!,GraysonDante,"McMinnville, TN",Thu Oct 25 02:52:32 +0000 2018
[],Love this!,worm2126,"Mount Pleasant, SC",Thu Oct 25 02:52:54 +0000 2018
"['African', 'football', 'utopia', 'Thanks', 'USAsoccer']","To change is not for me. When one door shuts, another opens ... itâ€™â€_",rolozapata,"North Hills, NY",Thu Oct 25 02:53:36 +0000 2018
"['NFLpicks', 'football', 'CFB', 'NBApicks']",% for year. All picks % combined for year. picks % for year. % for year.â€_,jeffersonsports,"Henderson, NV",Thu Oct 25 02:53:43 +0000 2018
[],Three teams. One game. And yâ€™all thought the MHSAA was chaotic...,BrianJLentz,"Senatobia, MS",Thu Oct 25 02:54:06 +0000 2018
[],"Lol, I HAVE???? No, Iâ€™m just a sensible human being who doesnâ€™t needâ€_",NateGearyWGR,"Buffalo, NY",Thu Oct 25 02:54:32 +0000 2018
['PsdXeiko'],Condolences to and the handler &amp; family of,HPSCanine,"Hamilton, Ontario",Thu Oct 25 02:55:18 +0000 2018
[],JW HALLS STEAK &amp; SEAFOOD HIGH SCHOOL FOOTBALL via,JosephWHall,"Center, PA",Thu Oct 25 02:57:02 +0000 2018
[],Consistency at every level. Admirable.,dickson_braden,"Louisiana, USA",Thu Oct 25 02:57:14 +0000 2018
[],Taggart is not the guy. Itâ€™s a legend type story with Bowden gone. Will be some time and the talentâ€_,juggernauts8116,"Florence, SC",Thu Oct 25 02:57:28 +0000 2018
[],Why his head crooked?,CoHambino,"Kentucky, USA",Thu Oct 25 02:57:53 +0000 2018
[],Itâ€™s football day !,caglaricli1903,"MontrÃ©al, QuÃ©bec",Thu Oct 25 02:57:54 +0000 2018
[],Sad truth about a young man who could not get out of his own way.,CUBOSCO,"Franklin, TN",Thu Oct 25 02:58:42 +0000 2018
[],If only him and his program was open to the media,jamiedupler,"Upper Arlington, OH",Thu Oct 25 02:59:18 +0000 2018
[],I guess Iâ€™m going to have to start watching more Arkansas Football!! Congrats TC!!! Iâ€™m very proud of you!,LegacySBall,"Burleson, TX",Thu Oct 25 02:59:25 +0000 2018
[],"Donâ€™t sleep this weekend, is going to get active this weekend. Good luck to AC and the Trinity squaâ€_",mbelitefb,"Marina, CA",Thu Oct 25 02:59:35 +0000 2018
[],"Everything in my life is falling in place !! Grades , football , family , money Thank the man above",gabeevans_2,"Dover, DE",Thu Oct 25 02:59:58 +0000 2018
[],Kenyan football teen plants trees for goals -,_cirrus_minor_,"Glasgow, Scotland",Thu Oct 25 03:01:15 +0000 2018
[],HUUUUUUUGE W for tonight in Waconia. See you at Shakopee HS pm on Friday for Section Quarter-Finâ€_,EP_FanSection,"Eden Prairie, MN",Thu Oct 25 03:01:28 +0000 2018
[],Hayâ€™s in the barn! Chance at a Rio Hondo League title this Friday at Monrovia HS. pm. Two good teams! Come &amp; suppoâ€_,SMarinoFootball,San Marino High School,Thu Oct 25 03:01:30 +0000 2018
[],Good luck this weekend to and the NC Condors this weekend. Another week to eat. Letâ€™s get it.â€_,mbelitefb,"Marina, CA",Thu Oct 25 03:01:41 +0000 2018
[],Facts,therealkmilt,"Clovis, CA",Thu Oct 25 03:01:50 +0000 2018
[],okay so ik i already graduated and i rlly shouldnâ€™t care but like ? this yearâ€™s almond bowl beef especially makes mâ€_,LilyRitcheyy,"Red Bluff, CA",Thu Oct 25 03:02:46 +0000 2018
[],ready to watch choctaw football friday!,ethancrewss,"Tonkawa, OK",Thu Oct 25 03:02:51 +0000 2018
[],Wasn't that NC state's plan too?,LiveFrmCarolina,"Irmo, SC",Thu Oct 25 03:03:15 +0000 2018
"['Huskiepride', 'Huskiefb']",Letâ€™s get votes for Carter Huskies! Vote for Saginaw-area football Player of Week for Week,shpilmore,"Michigan, USA",Thu Oct 25 03:03:51 +0000 2018
[],"Football maybe in the â€™s. Curious , why do you say NBA at its peak now ?",brianstartare,"Glassboro, NJ",Thu Oct 25 03:04:11 +0000 2018
['Seahawks'],"When asked about CTE &amp; potential long-term health risks of football , LB Bobby Wagner talked about how heâ€_",benyarthur,"Renton, WA",Thu Oct 25 03:04:24 +0000 2018
[],BIG fact,Lawrence_abu9,"Richardson, TX",Thu Oct 25 03:04:35 +0000 2018
[],Itâ€™s the most wonderful time of the year,auzzie013,"Superior, WI",Thu Oct 25 03:04:45 +0000 2018
"['Huskiepride', 'Huskiefb']",Letâ€™s vote for Carter Huskies! Vote for Saginaw-area football Player of Week for Week,Huskietweets,"Michigan, USA",Thu Oct 25 03:04:49 +0000 2018
['caravan'],This is a political football that will never reach America and is being used to scare conservatives into vâ€_,willschones,"Washington, DC",Thu Oct 25 03:06:22 +0000 2018
"['wiaa', 'wisfb']",Great stuff from one Fond du Lac team to another. Iâ€™ll be out at Fond du Lac vs. Arrowhead this Friday.,mnaczek,"Oshkosh, WI",Thu Oct 25 03:06:24 +0000 2018
"['FreeArchie', 'RIVERDALE']",Archie never started a riot at the prison he was playing football! Like wtf???? ï¸è,jtogbatue,"Riverside, CA",Thu Oct 25 03:06:29 +0000 2018
['wenotme'],Play for no doubt,No_Ditching_EHS,"Redding, CA",Thu Oct 25 03:07:37 +0000 2018
[],"Free, fly, breast or back your way into $250!! Details on our Ohio State/Michigan football square fundraiser cominâ€_",Swim4USA,"Dublin, OH",Thu Oct 25 03:07:53 +0000 2018
[],Lmao people still think Italy is stuck in the â€™s or something _Ÿ__â€çï¸è smh,m_sami19,"Gatineau, QuÃ©bec",Thu Oct 25 03:08:16 +0000 2018
"['touchdown', 'runningback', 'endzone', 'highschoolfootball', 'football', 'nc', 'sc']",TJ for yards for a touchdown!!! â€_,HailstockBros,"Fort Mill, SC",Thu Oct 25 03:08:17 +0000 2018
[],"Seaside Spartan players need to play with some pride. players on Seaside need to step up, lead, do whatâ€_",mbelitefb,"Marina, CA",Thu Oct 25 03:08:35 +0000 2018
[],s THEME TOMORROW NIGHT FOR THE VBALL GAMESSSS AGAINST PLATTE VALLEY!! C: :30 Jv: :30 V: :30!!!!! BE THEâ€_,Tiger_news8,"Sterling, CO",Thu Oct 25 03:08:37 +0000 2018
[],Came from Vegas to see the Bears and Phins game a couple of weeks ago. Won a Frank Gore signed football at the Veriâ€_,allsportstvhd,United States,Thu Oct 25 03:09:49 +0000 2018
['thankgod'],Mannn football Wednesdays be having me tired as hell thanks to the kids going to different schools ... it always work out tho,Twatchkee,"Washington, DC",Thu Oct 25 03:10:56 +0000 2018
[],"Thanks for a great season! Led our team in tackles and made several big plays on offense, a college will be lucky tâ€_",OPSCHSFB,"Omaha, NE",Thu Oct 25 03:11:07 +0000 2018
[],*ucf is the best college football team,IveyRossi,"University, FL",Thu Oct 25 03:11:33 +0000 2018
[],the fact that tomorrow is the last ford center football game for the class of is the saddest thing ever....,Destiny_J15,"Allen, TX",Thu Oct 25 03:11:44 +0000 2018
[],"Our Boys B Football team traveled to Desert Oasis tonight &amp; won -0. Congrats boys, Coach Small, Coach Smith &amp; Coach Earnst",DanaCrowley28,"Las Vegas, NV",Thu Oct 25 03:13:04 +0000 2018
[],"Come on, .",Newsphotog72,"Knoxville, TN",Thu Oct 25 03:13:15 +0000 2018
[],Glad they made it a written policy not to let random executive attorneys of the Pac-12 randomly call in and make reâ€_,SeattleMariNERD,"Alaska, USA",Thu Oct 25 03:13:28 +0000 2018
[],WHOS READY FOR SOME RAIDER FOOTBALL TOMORROW NIGHT?? JUST A DAY EARLY GUYS! we hope to see you there!!,RaiderSenate,"Rockingham, NC",Thu Oct 25 03:13:51 +0000 2018
[],The Championship games should be played on aâ€_,C_Hernandez5,Tacoma Dome,Thu Oct 25 03:13:57 +0000 2018
[],Nothing is better than CBS playing their college football theme going to breaks every time,joshsabo15,"Cleveland, OH",Thu Oct 25 03:14:53 +0000 2018
[],"It was nice to meet you at the Browns training camp. You have mad skills, Tear this shit up thisâ€_",boss_man_bam,Cleveland Browns Training Facility,Thu Oct 25 03:15:10 +0000 2018
[],Cough cough Auntie,rogue_nole,"Florida, USA",Thu Oct 25 03:15:52 +0000 2018
"['fsl', 'fullertonsportsleague']",So proud of our Knights Football! League Champs! â€_,ms_comini,Buena Park Jr. High School,Thu Oct 25 03:16:26 +0000 2018
['Spurs'],The club that keeps on giving _Ÿ_£_Ÿ_£_Ÿ_£,DarrenBell23,"Dubai, United Arab Emirates",Thu Oct 25 03:17:13 +0000 2018
[],That kid was good in all of the Backyard games. On the football one he was unstoppable,Da_One_Rod,"Houston, TX",Thu Oct 25 03:17:41 +0000 2018
[],"Speaking of on-campus football stadiums, grass Warrior Stadium has been ripped out. Galt will get an all-turf &amp; aâ€_",MBushLodiSports,"Lodi, CA",Thu Oct 25 03:17:49 +0000 2018
[],"A pee wee football coach in Mobile claims other coaches are cheating and swapping out players for older, bigger, faâ€_",Kym_nbc15,"Mobile, AL",Thu Oct 25 03:18:14 +0000 2018
[],The fkn cheerleaders outside the football game in Riverdale holy shit HAHAHHA,ffscxtherine,"Melbourne, Victoria",Thu Oct 25 03:18:49 +0000 2018
[],"Last football game with my kids, there was a group of kids screaming at the top of their lungs during El Paso Highâ€™â€_",graceealv,"El Paso, TX",Thu Oct 25 03:18:50 +0000 2018
[],Much love to my mans this was a special day to years ago when I first met you. Youâ€™re an amazing footbâ€_,MarvinPearson28,"Pottstown, PA",Thu Oct 25 03:19:03 +0000 2018
[],Amen!!,susandirby,"Nashville, TN",Thu Oct 25 03:19:11 +0000 2018
[],Need community service hours? Want to work the varsity football game? Help in the parking lot or at the snack barâ€_,TvhsUpdates,"Temecula, CA",Thu Oct 25 03:19:16 +0000 2018
[],Team Spanberger sponsors the Louisa football game last Friday. Guess whose sign also turned up? But not the candidate!,docpurcell,"Virginia, USA",Thu Oct 25 03:19:24 +0000 2018
[],From day one this was a brilliant buy,morsey7,"Blakedown, England",Thu Oct 25 03:19:37 +0000 2018
[],Funny that Sage was good enough to have the bad minutes &amp; I have no clue whoâ€_,bballMurphy23,"Charlotte, NC",Thu Oct 25 03:20:07 +0000 2018
[],Tonight I had the privilege of speaking at St. James High School football stadium packed with students who came outâ€_,DawnSmithJordan,"Socastee, SC",Thu Oct 25 03:20:11 +0000 2018
[],"I was in my sons football game darn it I missed the first chat, but will join u aâ€_",nardalugo123,"Pharr, TX",Thu Oct 25 03:20:33 +0000 2018
[],Is that your starting fantasy football team?,funnyithink1,"Los Angeles, CA",Thu Oct 25 03:21:02 +0000 2018
"['football', 'wings', 'beer']","Great food, fun and Cleveland Browns Football",boss_man_bam,WingHouse Bar & Grill,Thu Oct 25 03:21:52 +0000 2018
[],"Is football back on yet? Politics want to make me fight someone. Not that I hate that people disagree, itâ€™s just they are assholes about it.",swan931,"Texas, USA",Thu Oct 25 03:22:28 +0000 2018
[],Thatâ€™s exactly what it is All you can ask a team to do is beat everybody on their schedâ€_,Dusty_Coog20,"Houston, TX",Thu Oct 25 03:22:35 +0000 2018
[],Between that â€œfoam zoneâ€ù trainwreck on Monday Night Football and these â€œquick wordsâ€ù from Disney or whoever betweenâ€_,errxn,"Texas, USA",Thu Oct 25 03:22:37 +0000 2018
[],if not...... you got yourself a football squad!,___dayc,"Anchorage, AK",Thu Oct 25 03:25:01 +0000 2018
[],How four native Iowans formed unique bond and became Hawkeye starting defensive line via,BeaumontLue,"Delaware, OH",Thu Oct 25 03:25:10 +0000 2018
[],Ronnie Lott would never let the football program go to hell like you have.,spkspindog,"Los Angeles, CA",Thu Oct 25 03:25:29 +0000 2018
[],Don't miss the final games for the day on Oval for Day at the SSA Combined Touch Football Championships â€_,SchoolSportAust,"Melbourne, Victoria",Thu Oct 25 03:26:00 +0000 2018
[],Can yâ€™all be back to winning football games yet?,ELD3B,"Florida, USA",Thu Oct 25 03:26:06 +0000 2018
"['ReaperNation', 'ReaperPride']",Need the entire in the stands supporting our Reapers!,ReaperFootball,"Plano, IL",Thu Oct 25 03:26:06 +0000 2018
[],Thurmmmmm!,MLoffredoTV,"Amherst, NY",Thu Oct 25 03:26:54 +0000 2018
[],"Hey Ross, if kicking shouldn't be an important part of football, then change the namâ€_",ZekePowerz,"Clyde, NC",Thu Oct 25 03:27:21 +0000 2018
[],This year has been a year of firsts. st time announcing Football. st time announcing a soccer game. st time annoâ€_,NBEaglesPA,"Hillview, KY",Thu Oct 25 03:27:32 +0000 2018
[],"This is why i hate the game and the fan base, how would you support a game this which is literally KungFu street football",mahmoudabid,"Riyadh, Kingdom of Saudi Arabia",Thu Oct 25 03:28:05 +0000 2018
[],"This is a subtweet: if you actually respond to people that offer you a trade in fantasy football, you can do bettâ€_",Kenyonj36,"New York, USA",Thu Oct 25 03:28:16 +0000 2018
[],Yâ€™all donâ€™t know sports at all lol you talking like you understand football and the dolphins suck,D_Money_52,"Golden Glades, FL",Thu Oct 25 03:29:00 +0000 2018
[],Um does she offer classes? Cause I have a lot to learn about the game and sheâ€™s amazing!,tuckergirl,"Corman Park No. 344, Saskatchewan",Thu Oct 25 03:29:23 +0000 2018
[],"If Alabama really wants to know if they can truely beat LSU, they would want Devin White to play. Tuscaloosa has beâ€_",lele_les,"Bossier City, LA",Thu Oct 25 03:29:32 +0000 2018
['Bulls'],Riding home and basking in the glow of the first win of the season? Then tune into as â€_,mfc2123,"Chicago, IL",Thu Oct 25 03:29:35 +0000 2018
[],Also when did Rob Corddry change his name to PJ Fleck and start coaching the Minnesota football team?,cydneyjin,"Brooklyn, NY",Thu Oct 25 03:30:09 +0000 2018
[],"I love analytics. Honestly, I want data from every football play ever sorted by league, college vs pro, etc. that wâ€_",CarasikS,"Marietta, GA",Thu Oct 25 03:30:27 +0000 2018
[],"Those here, yep. I can answer that one. Freaking amazingâ€_",WSukkarieh,"Sydney, New South Wales",Thu Oct 25 03:30:34 +0000 2018
[],I've heard them chant it at Gillette Stadium during a football game. It has nothing to do with Manny.,bakerboys93,"Sleepy Hollow, NY",Thu Oct 25 03:30:50 +0000 2018
[],Youâ€™re an OG if you remember playing back yard football with one of these bad boys.,Mbooshi,"Des Moines, IA",Thu Oct 25 03:31:02 +0000 2018
[],"I joked last year that the real nuclear ""football"" suitcase was swapped for one with a sort of Fischeâ€_",StefanEJones,"Beaverton, OR",Thu Oct 25 03:31:15 +0000 2018
[],Shoutout to the best football mom for being at every game rain or shine! You da real mvp!!! Also thanks for the snacks_Ÿ_˜,neali_ferrell10,"Durango, CO",Thu Oct 25 03:31:18 +0000 2018
[],Here's all the info u need.. Thank you to,SHSVIKINGSFANS,"Spartanburg, SC",Thu Oct 25 03:31:30 +0000 2018
[],"on January , . They have three children together: sons CordÃ© (born August , ) and Cordell (born Februarâ€_",Evie_Calling,"Plano, TX",Thu Oct 25 03:31:48 +0000 2018
[],damn you got the locks lol,D_Money_52,"Golden Glades, FL",Thu Oct 25 03:32:09 +0000 2018
[],YESSSS CHRIS &amp; CIANA,sophhh_0,"Huntsville, TX",Thu Oct 25 03:32:36 +0000 2018
['TexasForever'],THIS IS A VERY HOT TAKE. But Riggins was the best brother ever.,JoeHealey42,"Mesa, AZ",Thu Oct 25 03:32:47 +0000 2018
[],Lol I saw you guys at petting zoo thing lol my dad recognize Cody from football lol,DallasSpeer,"Maricopa, AZ",Thu Oct 25 03:32:57 +0000 2018
[],"Quick run after the Poly match, seen two football players and two volleyball players haha. Some things never change",Guardabascio,"Long Beach, CA",Thu Oct 25 03:34:05 +0000 2018
[],Wow! I do hope to hear him speak some day. How awesome is our God! _Ÿ§¡,GidgetWalsh1,"Brentwood, TN",Thu Oct 25 03:34:52 +0000 2018
[],"Before NBC stepped in, it was actually about football. Ah, memories.",AllHailBrak57,"Arizona, USA",Thu Oct 25 03:35:29 +0000 2018
[],Random annoyed thought:itâ€™s football season and I have yet to watch Varsity Blues as itâ€™s part of my season traditiâ€_,Philmor21,"New Jersey, USA",Thu Oct 25 03:35:32 +0000 2018
"['lsu', 'GeauxTigers', 'foreverlsu']",Chad Jones may be my favorite tiger....that man was so dominant in both baseball and football,Grider_Drew,"Texas, USA",Thu Oct 25 03:36:34 +0000 2018
[],Random annoyed thought:itâ€™s football season and I have yet to watch Varsity Blues as itâ€™s part of my season traditiâ€_,Philmor21,"New Jersey, USA",Thu Oct 25 03:36:56 +0000 2018
['TeamFootball'],This was my mindset my whole time with . . O-Linemen are a great definition of what aâ€_,jtaylor_65,"Martin, TN",Thu Oct 25 03:37:00 +0000 2018
[],Meeee when the football team go on the road,LynellSooDope,"Guthrie, OK",Thu Oct 25 03:37:10 +0000 2018
[],Look itâ€™s real football we are seeiâ€_,mikeag96,"Texas, USA",Thu Oct 25 03:37:16 +0000 2018
